0,kiwi,kiwi
1,onion,onion
2,leek,leek
3,garlic,garlic
4,chives,chive
5,pineapple,pineapple
6,dill,dill
7,peanut,peanut
8,horseradish,horseradish
9,tarragon,tarragon
10,asparagus,asparagus
11,oat,oat
12,cauliflower,cauliflower
13,broccoli,broccoli
14,turnip,turnip
15,tea,tea
16,capers,caper
17,pepper,pepper
18,papaya,papaya
19,safflower,safflower
20,caraway,caraway
21,chestnut,chestnut
22,chickpea,chickpea
23,watermelon,watermelon
24,lime,lime
25,lemon,lemon
26,coffee,coffee
27,coriander,coriander
28,saffron,saffron
29,cucumber,cucumber
30,cumin,cumin
31,turmeric,turmeric
32,cardamom,cardamom
33,loquat,loquat
34,fig,fig
35,fennel,fennel
36,strawberry,strawberry
37,sunflower,sunflower
38,barley,barley
39,lettuce,lettuce
40,lentils,lentil
41,flaxseed,flaxseed
42,apple,apple
43,mango,mango
44,nutmeg,nutmeg
45,olive,olive
46,rice,rice
47,millet,millet
48,poppy,poppy
49,parsnip,parsnip
50,avocado,avocado
51,parsley,parsley
52,date,date
53,anise,anise
54,pistachio,pistachio
55,apricot,apricot
56,almond,almond
57,peach,peach
58,pomegranate,pomegranate
59,pear,pear
60,radish,radish
61,watercress,watercress
62,rosemary,rosemary
63,sorrel,sorrel
64,rye,rye
65,sesame,sesame
66,eggplant,eggplant
67,potato,potato
68,sorghum,sorghum
69,spinach,spinach
70,cloves,clove
71,tamarind,tamarind
72,fenugreek,fenugreek
73,vanilla,vanilla
74,corn,corn
75,ginger,ginger
76,banana,banana
77,nectarine,nectarine
78,shallot,shallot
79,carrot,carrot
80,grapefruit,grapefruit
81,beer,beer
82,pasta,pasta
83,biscuit,biscuit
84,sourdough,sourdough
85,acorn,acorn
86,alfalfa,alfalfa
87,allspice,allspice
88,amaranth,amaranth
89,arrowroot,arrowroot
90,bison,bison
91,buffalo,buffalo
92,butternut,butternut
93,cassava,cassava
94,chayote,chayotes
95,chia,chia
96,chicken,chicken
97,cisco,crisco
98,coconut,coconut
99,elk,elk
100,fireweed,fireweed
101,grape,grape
102,haddock,haddock
103,hazelnut,hazelnut
104,kale,kale
105,okra,okra
106,pheasant,pheasant
107,quinoa,quinoa
108,scallop,scallop
109,spelt,spelt
110,swordfish,swordfish
111,teff,teff
112,turkey,turkey
113,wasabi,wasabi
114,jicama,jicama
115,deer,deer
116,rabbit,rabbit
117,shrimp,shrimp
118,shiitake,shiitake
119,epazote,epazote
120,maitake,maitake
121,wheat,wheat
122,agave,agave
123,anchovy,anchovy
124,cinnamon,cinnamon
125,crab,crab
126,persimmon,persimmon
127,catfish,catfish
128,walnut,walnut
129,cheese,cheese
130,yogurt,yogurt
131,bean,bean
132,vodka,vodka
133,whisky,whiskey
134,gin,gin
135,honey,honey
136,vinegar,vinegar
137,rum,rum
138,vermouth,vermouth
139,sherry,sherry
140,nougat,nougat
141,toffee,toffee
142,cake,cake
143,pizza,pizza
144,pastry,pastry
145,sauce,sauce
146,salt,salt
147,butter,butter
148,cream,cream
149,sugar,sugar
150,sausage,sausage
151,mustard,mustard
152,pate,pate
153,whey,whey
154,casein,casein
155,marshmallow,marshmallow
156,gelatin,gelatin
157,water,water
158,dumpling,dumpling
159,soup,soup
160,syrup,syrup
161,lard,lard
162,chocolate,chocolate
163,buttermilk,buttermilk
164,miso,miso
165,tofu,tofu
166,roe,roe
167,hamburger,hamburger
168,chili,chili
169,taco,taco
170,tortilla,tortilla
171,salad,salad
172,topping,topping
173,popcorn,popcorn
174,stew,stew
175,lasagna,lasagna
176,pancake,pancake
177,pectin,pectin
178,pudding,pudding
179,meatloaf,meatloaf
180,sake,sake
181,cocktail,cocktail
182,couscous,couscous
183,bulgur,bulgur
184,spread,spread
185,enchilada,enchilada
186,ketchup,ketchup
187,adobo,adobo
188,canola,canola
189,pie,pie
190,shortening,shortening
191,molasses,molasses
192,cracker,cracker
193,flour,flour
194,dough,dough
195,cornbread,cornbread
196,dripping,dripping
197,empanada,empanada
198,arepa,arepas
199,stuffing,stuffing
200,fudge,fudge
201,margarine,margarine
202,hummus,hummus
203,cabbage,cabbage
204,mushrooms,mushroom
205,citrus,citrus
206,beverages,beverage
207,fruits,fruit
208,blackberry,blackberry
209,mate,mate
210,almond milk,almondmilk
211,clam,clam
212,plantain,plantain
213,clementine,clementine
